epoch,accuracy,loss,val_accuracy,val_loss
1,0.5424836874008179,0.7535192370414734,0.5128205418586731,0.6809393763542175
2,0.5686274766921997,0.6883978843688965,0.6410256624221802,0.6636151075363159
3,0.5620915293693542,0.7330460548400879,0.6666666865348816,0.6363566517829895
4,0.6209150552749634,0.6520001888275146,0.6666666865348816,0.6481170058250427
5,0.5947712659835815,0.6584620475769043,0.6666666865348816,0.6435575485229492
6,0.686274528503418,0.597377359867096,0.6410256624221802,0.6588951349258423
7,0.7058823704719543,0.5672515630722046,0.7435897588729858,0.5951662063598633
8,0.7647058963775635,0.533469557762146,0.6410256624221802,0.6469010710716248
9,0.758169949054718,0.5430290102958679,0.7179487347602844,0.6224567294120789
10,0.6928104758262634,0.6828883290290833,0.5384615659713745,0.8035246729850769
11,0.7254902124404907,0.5664147734642029,0.692307710647583,0.6431625485420227
12,0.7058823704719543,0.6100324392318726,0.5641025900840759,0.6890644431114197
13,0.6993464231491089,0.5646902322769165,0.7435897588729858,0.5724038481712341
14,0.7058823704719543,0.5770506262779236,0.7948718070983887,0.5521453022956848
15,0.7843137383460999,0.48804280161857605,0.6153846383094788,0.6298723220825195
16,0.8169934749603271,0.4619595408439636,0.7692307829856873,0.5181837677955627
17,0.8627451062202454,0.3966751992702484,0.7692307829856873,0.5052963495254517
18,0.8692810535430908,0.36493608355522156,0.7179487347602844,0.5614862442016602
19,0.8300653696060181,0.38000473380088806,0.8205128312110901,0.46481284499168396
20,0.8692810535430908,0.33775606751441956,0.7692307829856873,0.4795251488685608
21,0.8562091588973999,0.31713733077049255,0.7948718070983887,0.4737341105937958
22,0.8496732115745544,0.2874767780303955,0.8205128312110901,0.45056137442588806
23,0.8692810535430908,0.31539005041122437,0.8205128312110901,0.34865090250968933
24,0.8300653696060181,0.47940224409103394,0.7692307829856873,0.5042239427566528
25,0.8169934749603271,0.45638465881347656,0.6410256624221802,0.7092081904411316
