epoch,accuracy,loss,val_accuracy,val_loss
1,0.49673202633857727,0.6977478265762329,0.4871794879436493,0.6985403299331665
2,0.516339898109436,0.699471652507782,0.5897436141967773,0.6627525091171265
3,0.6274510025978088,0.6491193175315857,0.7435897588729858,0.6210168600082397
4,0.6601307392120361,0.631596565246582,0.5897436141967773,0.6939807534217834
5,0.6993464231491089,0.6187130212783813,0.7179487347602844,0.5945159792900085
6,0.7843137383460999,0.5422685742378235,0.7179487347602844,0.5439711213111877
7,0.8039215803146362,0.5094517469406128,0.7179487347602844,0.5623198747634888
8,0.8039215803146362,0.50129634141922,0.7692307829856873,0.5214173197746277
9,0.8039215803146362,0.4399481415748596,0.7948718070983887,0.47792479395866394
10,0.843137264251709,0.4160926043987274,0.7692307829856873,0.506350576877594
11,0.8366013169288635,0.3400745391845703,0.7948718070983887,0.4324648976325989
12,0.8758170008659363,0.29766836762428284,0.7948718070983887,0.506822943687439
13,0.8888888955116272,0.2660558819770813,0.8717948794364929,0.3103351891040802
14,0.8954248428344727,0.2253841757774353,0.8974359035491943,0.25818416476249695
15,0.8954248428344727,0.21633626520633698,0.9230769276618958,0.23247124254703522
16,0.8496732115745544,0.3886781930923462,0.8717948794364929,0.3525889813899994
17,0.7712418437004089,0.5554341673851013,0.7435897588729858,0.44868215918540955
18,0.7777777910232544,0.4210284352302551,0.8974359035491943,0.34031927585601807
19,0.8888888955116272,0.3547917902469635,0.8461538553237915,0.3910788595676422
20,0.9281045794487,0.2573912739753723,0.8974359035491943,0.3036976158618927
21,0.9542483687400818,0.20845767855644226,0.7948718070983887,0.4031800627708435
